學年別,年齡別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
106學年,總計,94407,27340,67067,724,174,550,58814,16057,42757,32933,10712,22221,1936,397,1539,46772,14441,32331,-,-,-,30631,8892,21739,15671,5365,10306,470,184,286
106學年,未滿25歲,1318,183,1135,12,2,10,812,111,701,466,66,400,28,4,24,478,104,374,-,-,-,307,67,240,164,37,127,7,-,7
106學年,25歲至未滿30歲,5491,1091,4400,60,17,43,3440,633,2807,1828,412,1416,163,29,134,3223,767,2456,-,-,-,2151,462,1689,1020,290,730,52,15,37
106學年,30歲至未滿35歲,8780,2004,6776,106,17,89,5685,1252,4433,2642,680,1962,347,55,292,6498,1774,4724,-,-,-,4408,1171,3237,2031,587,1444,59,16,43
106學年,35歲至未滿40歲,18196,5082,13114,171,41,130,11178,2959,8219,6263,1973,4290,584,109,475,10494,3035,7459,-,-,-,6744,1877,4867,3654,1134,2520,96,24,72
106學年,40歲至未滿45歲,22271,6487,15784,133,30,103,13786,3737,10049,8030,2647,5383,322,73,249,10915,3434,7481,-,-,-,7067,2035,5032,3753,1351,2402,95,48,47
106學年,45歲至未滿50歲,23622,8258,15364,168,47,121,14682,4852,9830,8561,3314,5247,211,45,166,8748,2783,5965,-,-,-,5775,1735,4040,2895,1011,1884,78,37,41
106學年,50歲至未滿55歲,11379,3224,8155,54,14,40,7218,1970,5248,3972,1203,2769,135,37,98,4667,1769,2898,-,-,-,3077,1084,1993,1548,668,880,42,17,25
106學年,55歲至未滿60歲,2666,766,1900,16,6,10,1641,424,1217,923,310,613,86,26,60,1357,585,772,-,-,-,857,353,504,467,210,257,33,22,11
106學年,60歲至未滿65歲,662,234,428,4,-,4,367,116,251,243,105,138,48,13,35,382,185,197,-,-,-,240,105,135,135,76,59,7,4,3
106學年,65歲以上,22,11,11,-,-,-,5,3,2,5,2,3,12,6,6,10,5,5,-,-,-,5,3,2,4,1,3,1,1,-
105學年,總計,95081,27674,67407,722,171,551,59320,16262,43058,33115,10870,22245,1924,371,1553,48063,14922,33141,-,-,-,31509,9196,22313,16089,5537,10552,465,189,276
105學年,未滿25歲,1262,156,1106,18,-,18,777,101,676,444,50,394,23,5,18,535,74,461,-,-,-,336,47,289,192,27,165,7,-,7
105學年,25歲至未滿30歲,5563,1069,4494,55,13,42,3456,638,2818,1877,398,1479,175,20,155,3907,951,2956,-,-,-,2607,574,2033,1253,362,891,47,15,32
105學年,30歲至未滿35歲,9418,2264,7154,117,20,97,6003,1379,4624,2855,789,2066,443,76,367,7405,2091,5314,-,-,-,4964,1372,3592,2377,699,1678,64,20,44
105學年,35歲至未滿40歲,19713,5466,14247,164,44,120,12088,3156,8932,6938,2173,4765,523,93,430,11227,3265,7962,-,-,-,7158,1944,5214,3969,1288,2681,100,33,67
105學年,40歲至未滿45歲,22449,6923,15526,132,32,100,13915,3997,9918,8091,2819,5272,311,75,236,10460,3390,7070,-,-,-,6826,2050,4776,3545,1298,2247,89,42,47
105學年,45歲至未滿50歲,23378,8060,15318,168,48,120,14731,4797,9934,8291,3181,5110,188,34,154,8634,2791,5843,-,-,-,5782,1770,4012,2777,989,1788,75,32,43
105學年,50歲至未滿55歲,10218,2789,7429,51,9,42,6532,1691,4841,3525,1061,2464,110,28,82,4278,1643,2635,-,-,-,2807,1018,1789,1429,604,825,42,21,21
105學年,55歲至未滿60歲,2409,698,1711,14,5,9,1451,378,1073,849,289,560,95,26,69,1237,520,717,-,-,-,789,305,484,418,195,223,30,20,10
105學年,60歲至未滿65歲,649,239,410,3,-,3,361,123,238,238,106,132,47,10,37,368,192,176,-,-,-,233,114,119,127,74,53,8,4,4
105學年,65歲以上,22,10,12,-,-,-,6,2,4,7,4,3,9,4,5,12,5,7,-,-,-,7,2,5,2,1,1,3,2,1
104學年,總計,97368,28478,68890,722,170,552,60982,16748,44234,33784,11199,22585,1880,361,1519,50394,15711,34683,-,-,-,33039,9650,23389,16890,5860,11030,465,201,264
104學年,未滿25歲,1169,129,1040,15,2,13,733,76,657,392,49,343,29,2,27,821,115,706,-,-,-,557,75,482,260,39,221,4,1,3
104學年,25歲至未滿30歲,5981,1121,4860,72,20,52,3786,672,3114,1917,401,1516,206,28,178,4814,1177,3637,-,-,-,3227,730,2497,1550,434,1116,37,13,24
104學年,30歲至未滿35歲,11290,2874,8416,127,25,102,7120,1706,5414,3528,1053,2475,515,90,425,8595,2510,6085,-,-,-,5636,1591,4045,2890,900,1990,69,19,50
104學年,35歲至未滿40歲,20462,5756,14706,148,35,113,12510,3312,9198,7350,2326,5024,454,83,371,11877,3477,8400,-,-,-,7593,2106,5487,4179,1326,2853,105,45,60
104學年,40歲至未滿45歲,22651,7212,15439,143,29,114,14059,4182,9877,8177,2932,5245,272,69,203,10125,3321,6804,-,-,-,6632,2007,4625,3402,1275,2127,91,39,52
104學年,45歲至未滿50歲,23095,7775,15320,161,42,119,14739,4691,10048,8033,3014,5019,162,28,134,8479,2767,5712,-,-,-,5695,1724,3971,2704,1009,1695,80,34,46
104學年,50歲至未滿55歲,9677,2661,7016,43,16,27,6236,1613,4623,3296,1006,2290,102,26,76,4101,1614,2487,-,-,-,2691,992,1699,1370,598,772,40,24,16
104學年,55歲至未滿60歲,2377,709,1668,12,1,11,1443,385,1058,836,299,537,86,24,62,1198,529,669,-,-,-,776,315,461,396,197,199,26,17,9
104學年,60歲至未滿65歲,648,232,416,1,-,1,351,109,242,251,118,133,45,5,40,376,194,182,-,-,-,228,107,121,139,82,57,9,5,4
104學年,65歲以上,18,9,9,-,-,-,5,2,3,4,1,3,9,6,3,8,7,1,-,-,-,4,3,1,-,-,-,4,4,-
103學年,總計,98580,29083,69497,726,168,558,52708,14616,38092,43308,13960,29348,1838,339,1499,52154,16378,35776,-,-,-,28585,8415,20170,23031,7735,15296,538,228,310
103學年,未滿25歲,1233,151,1082,11,4,7,622,74,548,577,72,505,23,1,22,976,167,809,-,-,-,507,89,418,455,76,379,14,2,12
103學年,25歲至未滿30歲,6108,1128,4980,75,17,58,3282,544,2738,2549,543,2006,202,24,178,5799,1477,4322,-,-,-,3155,752,2403,2598,711,1887,46,14,32
103學年,30歲至未滿35歲,13081,3451,9630,138,30,108,6834,1720,5114,5542,1606,3936,567,95,472,9646,2853,6793,-,-,-,5064,1420,3644,4485,1403,3082,97,30,67
103學年,35歲至未滿40歲,21079,5963,15116,157,33,124,10749,2783,7966,9757,3064,6693,416,83,333,12070,3652,8418,-,-,-,6574,1842,4732,5379,1758,3621,117,52,65
103學年,40歲至未滿45歲,23371,7886,15485,160,39,121,12292,3895,8397,10672,3899,6773,247,53,194,9845,3225,6620,-,-,-,5492,1676,3816,4267,1505,2762,86,44,42
103學年,45歲至未滿50歲,21852,7041,14811,134,28,106,12347,3856,8491,9216,3130,6086,155,27,128,8274,2734,5540,-,-,-,4706,1441,3265,3489,1258,2231,79,35,44
103學年,50歲至未滿55歲,8933,2482,6451,38,15,23,5093,1316,3777,3706,1127,2579,96,24,72,3951,1549,2402,-,-,-,2224,845,1379,1671,675,996,56,29,27
103學年,55歲至未滿60歲,2264,729,1535,11,1,10,1178,336,842,997,374,623,78,18,60,1192,515,677,-,-,-,658,254,404,508,248,260,26,13,13
103學年,60歲至未滿65歲,640,242,398,2,1,1,303,89,214,289,142,147,46,10,36,393,201,192,-,-,-,203,95,108,177,100,77,13,6,7
103學年,65歲以上,19,10,9,-,-,-,8,3,5,3,3,-,8,4,4,8,5,3,-,-,-,2,1,1,2,1,1,4,3,1
102學年,總計,97436,29178,68258,718,167,551,52350,14686,37664,42635,13997,28638,1733,328,1405,52451,16563,35888,-,-,-,28890,8518,20372,23042,7820,15222,519,225,294
102學年,未滿25歲,945,85,860,4,-,4,500,46,454,409,37,372,32,2,30,1051,161,890,-,-,-,572,70,502,467,90,377,12,1,11
102學年,25歲至未滿30歲,6061,1117,4944,86,18,68,3334,558,2776,2407,507,1900,234,34,200,6206,1616,4590,-,-,-,3348,817,2531,2819,789,2030,39,10,29
102學年,30歲至未滿35歲,14692,4120,10572,146,37,109,7585,1991,5594,6409,1998,4411,552,94,458,10564,3085,7479,-,-,-,5550,1526,4024,4900,1518,3382,114,41,73
102學年,35歲至未滿40歲,21306,6151,15155,134,30,104,10872,2868,8004,9949,3174,6775,351,79,272,11821,3694,8127,-,-,-,6464,1862,4602,5236,1777,3459,121,55,66
102學年,40歲至未滿45歲,23630,8216,15414,163,39,124,12561,4109,8452,10697,4021,6676,209,47,162,9370,3023,6347,-,-,-,5229,1598,3631,4070,1390,2680,71,35,36
102學年,45歲至未滿50歲,20304,6287,14017,127,25,102,11737,3550,8187,8308,2689,5619,132,23,109,8080,2792,5288,-,-,-,4654,1479,3175,3363,1285,2078,63,28,35
102學年,50歲至未滿55歲,7764,2214,5550,45,16,29,4363,1137,3226,3264,1041,2223,92,20,72,3772,1451,2321,-,-,-,2208,801,1407,1512,621,891,52,29,23
102學年,55歲至未滿60歲,2083,724,1359,10,1,9,1091,322,769,913,386,527,69,15,54,1185,523,662,-,-,-,651,255,396,504,253,251,30,15,15
102學年,60歲至未滿65歲,634,260,374,3,1,2,297,104,193,275,143,132,59,12,47,395,213,182,-,-,-,211,108,103,169,95,74,15,10,5
102學年,65歲以上,17,4,13,-,-,-,10,1,9,4,1,3,3,2,1,7,5,2,-,-,-,3,2,1,2,2,-,2,1,1
101學年,總計,97466,29626,67840,727,158,569,52982,15024,37958,42084,14123,27961,1673,321,1352,51872,16474,35398,-,-,-,28665,8467,20198,22652,7762,14890,555,245,310
101學年,未滿25歲,903,87,816,4,-,4,515,42,473,353,42,311,31,3,28,1046,156,890,-,-,-,613,88,525,426,67,359,7,1,6
101學年,25歲至未滿30歲,6288,1222,5066,90,17,73,3551,643,2908,2374,517,1857,273,45,228,6358,1617,4741,-,-,-,3415,822,2593,2878,784,2094,65,11,54
101學年,30歲至未滿35歲,16845,4780,12065,153,36,117,8723,2296,6427,7436,2360,5076,533,88,445,11040,3208,7832,-,-,-,5777,1558,4219,5157,1610,3547,106,40,66
101學年,35歲至未滿40歲,21511,6421,15090,127,23,104,11153,3000,8153,9919,3319,6600,312,79,233,11287,3663,7624,-,-,-,6264,1855,4409,4916,1752,3164,107,56,51
101學年,40歲至未滿45歲,23550,8336,15214,173,46,127,12699,4253,8446,10495,3997,6498,183,40,143,9139,2913,6226,-,-,-,5079,1546,3533,3966,1323,2643,94,44,50
101學年,45歲至未滿50歲,18701,5615,13086,123,24,99,10921,3202,7719,7538,2365,5173,119,24,95,7891,2817,5074,-,-,-,4625,1498,3127,3195,1285,1910,71,34,37
101學年,50歲至未滿55歲,6997,2118,4879,43,11,32,4054,1121,2933,2810,970,1840,90,16,74,3555,1365,2190,-,-,-,2056,744,1312,1445,589,856,54,32,22
101學年,55歲至未滿60歲,2056,783,1273,9,1,8,1090,370,720,884,398,486,73,14,59,1153,515,638,-,-,-,626,250,376,495,250,245,32,15,17
101學年,60歲至未滿65歲,606,260,346,5,-,5,272,94,178,273,154,119,56,12,44,391,214,177,-,-,-,208,104,104,165,99,66,18,11,7
101學年,65歲以上,9,4,5,-,-,-,4,3,1,2,1,1,3,-,3,12,6,6,-,-,-,2,2,-,9,3,6,1,1,-
100學年,總計,98559,30233,68326,705,153,552,53812,15420,38392,42370,14355,28015,1672,305,1367,51200,16304,34896,-,-,-,28253,8350,19903,22413,7734,14679,534,220,314
100學年,未滿25歲,950,97,853,6,-,6,598,63,535,322,33,289,24,1,23,902,117,785,-,-,-,520,64,456,374,53,321,8,-,8
100學年,25歲至未滿30歲,6828,1425,5403,106,17,89,3603,701,2902,2774,660,2114,345,47,298,6654,1701,4953,-,-,-,3432,826,2606,3156,861,2295,66,14,52
100學年,30歲至未滿35歲,18405,5174,13231,152,31,121,9499,2415,7084,8235,2646,5589,519,82,437,11215,3208,8007,-,-,-,5894,1524,4370,5212,1649,3563,109,35,74
100學年,35歲至未滿40歲,21906,6812,15094,115,23,92,11486,3258,8228,10044,3461,6583,261,70,191,10813,3565,7248,-,-,-,5982,1811,4171,4728,1702,3026,103,52,51
100學年,40歲至未滿45歲,23495,8156,15339,168,45,123,12883,4261,8622,10264,3817,6447,180,33,147,8834,2802,6032,-,-,-,4948,1500,3448,3800,1269,2531,86,33,53
100學年,45歲至未滿50歲,17520,5309,12211,109,27,82,10415,3089,7326,6887,2169,4718,109,24,85,7616,2750,4866,-,-,-,4534,1494,3040,3011,1217,1794,71,39,32
100學年,50歲至未滿55歲,6722,2118,4604,31,8,23,3935,1131,2804,2667,964,1703,89,15,74,3622,1398,2224,-,-,-,2107,745,1362,1464,624,840,51,29,22
100學年,55歲至未滿60歲,2120,857,1263,14,2,12,1119,398,721,914,442,472,73,15,58,1169,550,619,-,-,-,634,280,354,507,258,249,28,12,16
100學年,60歲至未滿65歲,601,283,318,4,-,4,270,104,166,260,161,99,67,18,49,362,204,158,-,-,-,196,101,95,155,98,57,11,5,6
100學年,65歲以上,12,2,10,-,-,-,4,-,4,3,2,1,5,-,5,13,9,4,-,-,-,6,5,1,6,3,3,1,1,-
99學年,總計,99562,30859,68703,709,155,554,15875,3982,11893,81313,26419,54894,1665,303,1362,51965,16582,35383,-,-,-,9005,2463,6542,42421,13884,28537,539,235,304
99學年,未滿25歲,932,81,851,9,-,9,127,20,107,754,60,694,42,1,41,1109,152,957,-,-,-,200,26,174,896,124,772,13,2,11
99學年,25歲至未滿30歲,8381,1989,6392,101,14,87,1298,266,1032,6554,1649,4905,428,60,368,7405,1933,5472,-,-,-,1142,242,900,6198,1672,4526,65,19,46
99學年,30歲至未滿35歲,19699,5589,14110,141,35,106,2994,701,2293,16121,4770,11351,443,83,360,11948,3458,8490,-,-,-,1753,419,1334,10074,2991,7083,121,48,73
99學年,35歲至未滿40歲,22113,7184,14929,115,21,94,3389,842,2547,18372,6258,12114,237,63,174,10270,3413,6857,-,-,-,1783,527,1256,8398,2843,5555,89,43,46
99學年,40歲至未滿45歲,23310,7838,15472,166,44,122,3645,1086,2559,19329,6678,12651,170,30,140,8679,2845,5834,-,-,-,1574,450,1124,7009,2358,4651,96,37,59
99學年,45歲至未滿50歲,15863,4848,11015,109,30,79,2771,694,2077,12885,4108,8777,98,16,82,7387,2638,4749,-,-,-,1499,430,1069,5823,2170,3653,65,38,27
99學年,50歲至未滿55歲,6604,2205,4399,50,9,41,1220,256,964,5238,1924,3314,96,16,80,3660,1377,2283,-,-,-,761,235,526,2849,1114,1735,50,28,22
99學年,55歲至未滿60歲,2072,842,1230,17,2,15,348,89,259,1622,732,890,85,19,66,1167,569,598,-,-,-,238,104,134,900,450,450,29,15,14
99學年,60歲至未滿65歲,574,277,297,1,-,1,82,28,54,430,234,196,61,15,46,330,188,142,-,-,-,55,30,25,264,153,111,11,5,6
99學年,65歲以上,14,6,8,-,-,-,1,-,1,8,6,2,5,-,5,10,9,1,-,-,-,-,-,-,10,9,1,-,-,-
98學年,總計,99155,31089,68066,673,141,532,16104,4058,12046,80780,26594,54186,1598,296,1302,51899,16672,35227,-,-,-,9017,2493,6524,42314,13932,28382,568,247,321
98學年,未滿25歲,852,103,749,8,-,8,133,21,112,682,80,602,29,2,27,1120,180,940,-,-,-,206,31,175,901,149,752,13,-,13
98學年,25歲至未滿30歲,10000,2584,7416,101,17,84,1701,359,1342,7753,2147,5606,445,61,384,8149,2132,6017,-,-,-,1207,259,948,6859,1852,5007,83,21,62
98學年,30歲至未滿35歲,20106,5793,14313,133,27,106,3050,713,2337,16534,4976,11558,389,77,312,12013,3533,8480,-,-,-,1779,443,1336,10118,3039,7079,116,51,65
98學年,35歲至未滿40歲,22894,7797,15097,128,26,102,3596,939,2657,18959,6780,12179,211,52,159,9982,3302,6680,-,-,-,1742,506,1236,8145,2753,5392,95,43,52
98學年,40歲至未滿45歲,22130,7220,14910,145,36,109,3496,1078,2418,18330,6070,12260,159,36,123,8492,2836,5656,-,-,-,1551,454,1097,6850,2342,4508,91,40,51
98學年,45歲至未滿50歲,14398,4318,10080,102,24,78,2608,591,2017,11584,3687,7897,104,16,88,7066,2549,4517,-,-,-,1522,445,1077,5472,2061,3411,72,43,29
98學年,50歲至未滿55歲,6315,2213,4102,43,9,34,1146,248,898,5027,1940,3087,99,16,83,3682,1402,2280,-,-,-,756,236,520,2865,1137,1728,61,29,32
98學年,55歲至未滿60歲,1914,776,1138,12,2,10,298,79,219,1506,678,828,98,17,81,1084,537,547,-,-,-,208,91,117,849,432,417,27,14,13
98學年,60歲至未滿65歲,519,271,248,1,-,1,75,30,45,388,224,164,55,17,38,305,196,109,-,-,-,46,28,18,249,162,87,10,6,4
98學年,65歲以上,27,14,13,-,-,-,1,-,1,17,12,5,9,2,7,6,5,1,-,-,-,-,-,-,6,5,1,-,-,-
97學年,總計,100206,31551,68655,679,144,535,16404,4111,12293,81558,27009,54549,1565,287,1278,51777,16693,35084,-,-,-,9005,2483,6522,42192,13946,28246,580,264,316
97學年,未滿25歲,1193,150,1043,10,-,10,171,18,153,969,128,841,43,4,39,1394,238,1156,-,-,-,237,31,206,1145,207,938,12,-,12
97學年,25歲至未滿30歲,12742,3457,9285,98,20,78,2097,446,1651,10092,2928,7164,455,63,392,8896,2347,6549,-,-,-,1267,259,1008,7535,2061,5474,94,27,67
97學年,30歲至未滿35歲,20859,6074,14785,127,25,102,3102,715,2387,17283,5258,12025,347,76,271,11910,3641,8269,-,-,-,1835,480,1355,9950,3104,6846,125,57,68
97學年,35歲至未滿40歲,23628,8372,15256,149,34,115,3719,1070,2649,19541,7217,12324,219,51,168,9575,3091,6484,-,-,-,1621,470,1151,7858,2575,5283,96,46,50
97學年,40歲至未滿45歲,20730,6486,14244,126,29,97,3303,993,2310,17152,5428,11724,149,36,113,8259,2822,5437,-,-,-,1533,467,1066,6638,2315,4323,88,40,48
97學年,45歲至未滿50歲,12965,3831,9134,106,24,82,2596,526,2070,10157,3270,6887,106,11,95,6874,2435,4439,-,-,-,1589,437,1152,5210,1952,3258,75,46,29
97學年,50歲至未滿55歲,5779,2144,3635,50,10,40,1075,239,836,4564,1880,2684,90,15,75,3532,1385,2147,-,-,-,691,229,462,2787,1129,1658,54,27,27
97學年,55歲至未滿60歲,1811,760,1051,10,2,8,271,78,193,1433,664,769,97,16,81,1036,544,492,-,-,-,194,92,102,811,435,376,31,17,14
97學年,60歲至未滿65歲,478,263,215,3,-,3,68,26,42,354,225,129,53,12,41,292,182,110,-,-,-,38,18,20,250,161,89,4,3,1
97學年,65歲以上,21,14,7,-,-,-,2,-,2,13,11,2,6,3,3,9,8,1,-,-,-,-,-,-,8,7,1,1,1,-
""
