學年別,學門別,五專(含七年)總計,五專(含七年)國立,五專(含七年)直轄市立,五專(含七年)私立,二專總計,二專國立,二專直轄市立,二專私立,學士後學士學位總計,學士後學士學位國立,學士後學士學位直轄市立,學士後學士學位私立,大學二年制(含二技)總計,大學二年制(含二技)國立,大學二年制(含二技)直轄市立,大學二年制(含二技)私立,大學四年制(含四技)總計,大學四年制(含四技)國立,大學四年制(含四技)直轄市立,大學四年制(含四技)私立,碩士班總計,碩士班國立,碩士班直轄市立,碩士班私立,博士班總計,博士班國立,博士班直轄市立,博士班私立
105學年,總計,251,30,-,221,112,17,-,95,19,10,-,9,484,135,-,349,3761,1151,27,2583,3426,1853,47,1526,880,655,5,220
105學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,95,72,6,17,258,204,17,37,59,55,2,2
105學年,藝術學門,10,3,-,7,-,-,-,-,4,2,-,2,9,4,-,5,127,70,3,54,135,102,5,28,16,15,-,1
105學年,人文學門,28,3,-,25,1,-,-,1,-,-,-,-,34,10,-,24,330,109,2,219,268,150,4,114,69,48,1,20
105學年,設計學門,20,2,-,18,5,-,-,5,1,1,-,-,36,10,-,26,254,37,-,217,114,39,-,75,11,7,-,4
105學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,63,2,58,250,146,4,100,60,46,-,14
105學年,傳播學門,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,5,83,13,-,70,63,22,-,41,5,4,-,1
105學年,商業及管理學門,26,9,-,17,19,1,-,18,3,2,-,1,111,41,-,70,638,148,1,489,541,251,-,290,81,58,-,23
105學年,法律學門,-,-,-,-,-,-,-,-,1,-,-,1,2,2,-,-,40,14,-,26,66,35,-,31,13,9,-,4
105學年,生命科學學門,1,-,-,1,1,-,-,1,-,-,-,-,2,-,-,2,68,31,-,37,105,59,-,46,52,44,-,8
105學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,48,2,18,91,71,4,16,61,53,-,8
105學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,24,1,18,54,34,2,18,22,18,-,4
105學年,電算機學門,14,2,-,12,8,2,-,6,1,-,-,1,26,6,-,20,215,37,-,178,125,53,-,72,14,12,-,2
105學年,工程學門,32,2,-,30,16,3,-,13,1,1,-,-,79,38,-,41,677,274,1,402,724,406,2,316,247,179,-,68
105學年,建築及都市規劃學門,2,-,-,2,1,1,-,-,-,-,-,-,4,1,-,3,48,11,1,36,57,20,-,37,7,5,-,2
105學年,農業科學學門,2,2,-,-,3,3,-,-,-,-,-,-,3,3,-,-,91,63,-,28,86,72,-,14,31,30,-,1
105學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,1,13,12,-,1,6,6,-,-
105學年,醫藥衛生學門,42,2,-,40,12,-,-,12,2,1,-,1,65,5,-,60,196,29,1,166,239,80,-,159,106,51,-,55
105學年,社會服務學門,16,1,-,15,15,2,-,13,-,-,-,-,32,2,-,30,98,14,-,84,42,11,-,31,5,4,-,1
105學年,民生學門,56,3,-,53,29,5,-,24,2,1,-,1,71,10,-,61,514,71,7,436,158,64,9,85,8,5,2,1
105學年,運輸服務學門,2,1,-,1,2,-,-,2,3,2,-,1,2,2,-,-,28,13,-,15,21,14,-,7,3,3,-,-
105學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2,-,6,11,6,-,5,2,2,-,-
105學年,軍警國防安全學門,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,7,-,-,7,1,-,-,1,-,-,-,-
105學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,1,4,2,-,2,2,1,-,1
104學年,總計,253,30,-,223,141,22,-,119,11,6,-,5,435,103,-,332,3749,1130,27,2592,3378,1841,46,1491,858,646,5,207
104學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,95,72,6,17,262,209,16,37,59,55,2,2
104學年,藝術學門,9,3,-,6,-,-,-,-,2,1,-,1,7,3,-,4,119,69,3,47,139,105,5,29,17,16,-,1
104學年,人文學門,28,3,-,25,-,-,-,-,-,-,-,-,29,8,-,21,342,108,2,232,269,153,4,112,70,49,1,20
104學年,設計學門,23,2,-,21,6,-,-,6,1,1,-,-,28,7,-,21,250,33,-,217,111,40,-,71,11,7,-,4
104學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,63,2,58,249,148,4,97,62,47,-,15
104學年,傳播學門,-,-,-,-,-,-,-,-,1,-,-,1,4,1,-,3,81,13,-,68,63,23,-,40,6,5,-,1
104學年,商業及管理學門,28,9,-,19,27,2,-,25,-,-,-,-,91,33,-,58,647,147,1,499,532,242,-,290,80,58,-,22
104學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,42,14,-,28,63,33,-,30,12,8,-,4
104學年,生命科學學門,1,-,-,1,-,-,-,-,-,-,-,-,3,-,-,3,69,30,-,39,107,60,-,47,48,42,-,6
104學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,47,2,19,90,70,4,16,63,54,-,9
104學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,24,1,20,54,34,2,18,19,16,-,3
104學年,電算機學門,15,2,-,13,12,2,-,10,-,-,-,-,28,5,-,23,225,36,-,189,120,51,-,69,14,12,-,2
104學年,工程學門,30,2,-,28,19,2,-,17,2,2,-,-,64,25,-,39,679,268,1,410,714,401,2,311,234,173,-,61
104學年,建築及都市規劃學門,2,-,-,2,1,1,-,-,-,-,-,-,3,1,-,2,48,11,1,36,57,19,-,38,7,5,-,2
104學年,農業科學學門,2,2,-,-,3,3,-,-,-,-,-,-,-,-,-,-,91,63,-,28,82,70,-,12,30,29,-,1
104學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,12,11,-,1,5,5,-,-
104學年,醫藥衛生學門,41,2,-,39,12,-,-,12,2,-,-,2,62,5,-,57,179,26,1,152,224,79,-,145,102,51,-,51
104學年,社會服務學門,16,1,-,15,17,2,-,15,-,-,-,-,34,2,-,32,94,14,-,80,42,11,-,31,5,4,-,1
104學年,民生學門,56,3,-,53,42,10,-,32,1,1,-,-,76,9,-,67,502,68,7,427,152,61,9,82,7,4,2,1
104學年,運輸服務學門,2,1,-,1,2,-,-,2,2,1,-,1,2,2,-,-,28,13,-,15,21,14,-,7,3,3,-,-
104學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,5,11,6,-,5,2,2,-,-
104學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,1,-,-,1,-,-,-,-
104學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,1,3,1,-,2,2,1,-,1
103學年,總計,236,31,-,205,162,25,-,137,12,7,-,5,482,97,-,385,3797,1123,24,2650,3334,1819,48,1467,851,638,5,208
103學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,94,72,6,16,266,214,17,35,58,54,2,2
103學年,藝術學門,9,3,-,6,-,-,-,-,1,-,-,1,8,3,-,5,116,68,3,45,135,103,6,26,16,15,-,1
103學年,人文學門,26,3,-,23,1,-,-,1,-,-,-,-,31,8,-,23,347,109,2,236,268,153,4,111,70,49,1,20
103學年,設計學門,19,2,-,17,7,-,-,7,-,-,-,-,31,6,-,25,255,31,-,224,103,36,-,67,11,7,-,4
103學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,122,63,2,57,247,151,4,92,61,46,-,15
103學年,傳播學門,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,6,82,13,-,69,64,24,-,40,6,5,-,1
103學年,商業及管理學門,29,9,-,20,32,4,-,28,1,1,-,-,110,33,-,77,650,144,-,506,518,231,-,287,79,57,-,22
103學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,42,13,-,29,58,30,-,28,11,7,-,4
103學年,生命科學學門,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,71,30,-,41,111,61,-,50,54,44,-,10
103學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,47,2,19,90,70,4,16,61,52,-,9
103學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,24,1,21,54,34,2,18,19,17,-,2
103學年,電算機學門,18,3,-,15,12,2,-,10,-,-,-,-,32,4,-,28,234,36,-,198,118,47,-,71,14,12,-,2
103學年,工程學門,24,2,-,22,20,2,-,18,3,3,-,-,68,23,-,45,703,268,1,434,720,400,2,318,234,172,-,62
103學年,建築及都市規劃學門,1,-,-,1,2,2,-,-,-,-,-,-,1,1,-,-,50,11,-,39,55,19,-,36,7,5,-,2
103學年,農業科學學門,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,91,63,-,28,80,68,-,12,29,28,-,1
103學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,12,11,-,1,4,4,-,-
103學年,醫藥衛生學門,39,2,-,37,12,-,-,12,3,1,-,2,61,3,-,58,175,25,-,150,205,73,-,132,98,50,-,48
103學年,社會服務學門,16,1,-,15,18,2,-,16,-,-,-,-,36,2,-,34,92,13,-,79,41,11,-,30,5,4,-,1
103學年,民生學門,51,3,-,48,52,9,-,43,1,-,-,1,84,9,-,75,509,69,7,433,150,62,9,79,8,5,2,1
103學年,運輸服務學門,2,1,-,1,2,-,-,2,3,2,-,1,3,2,-,1,29,13,-,16,23,14,-,9,3,3,-,-
103學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,5,12,6,-,6,2,2,-,-
103學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,1,-,-,1,-,-,-,-
103學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,1,3,1,-,2,1,-,-,1
102學年,總計,253,30,-,223,195,27,-,168,15,8,-,7,500,105,-,395,3848,1114,24,2710,3312,1809,47,1456,839,626,5,208
102學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,96,72,6,18,265,214,17,34,59,55,2,2
102學年,藝術學門,8,3,-,5,1,-,-,1,1,-,-,1,9,4,-,5,115,70,3,42,134,102,6,26,14,13,-,1
102學年,人文學門,28,3,-,25,1,-,-,1,-,-,-,-,35,8,-,27,350,110,2,238,268,152,4,112,69,48,1,20
102學年,設計學門,22,2,-,20,5,-,-,5,2,1,-,1,28,5,-,23,254,29,-,225,104,37,-,67,9,6,-,3
102學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,125,62,2,61,242,147,3,92,61,46,-,15
102學年,傳播學門,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,5,82,12,-,70,62,23,-,39,6,5,-,1
102學年,商業及管理學門,32,9,-,23,38,4,-,34,4,3,-,1,111,30,-,81,668,140,-,528,509,229,-,280,78,56,-,22
102學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,41,13,-,28,53,30,-,23,10,6,-,4
102學年,生命科學學門,1,-,-,1,1,-,-,1,-,-,-,-,3,-,-,3,76,32,-,44,111,62,-,49,52,42,-,10
102學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,47,2,19,88,70,3,15,61,52,-,9
102學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,24,1,22,54,33,2,19,20,17,-,3
102學年,電算機學門,23,3,-,20,14,2,-,12,-,-,-,-,41,5,-,36,247,36,-,211,121,48,-,73,14,12,-,2
102學年,工程學門,28,2,-,26,28,4,-,24,3,3,-,-,76,32,-,44,722,265,1,456,726,401,2,323,229,166,-,63
102學年,建築及都市規劃學門,1,-,-,1,3,2,-,1,-,-,-,-,2,1,-,1,51,11,-,40,56,19,-,37,7,5,-,2
102學年,農業科學學門,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,94,65,-,29,79,67,-,12,29,28,-,1
102學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,11,11,-,-,5,5,-,-
102學年,醫藥衛生學門,40,2,-,38,11,-,-,11,2,-,-,2,60,3,-,57,172,23,-,149,206,71,1,134,98,50,-,48
102學年,社會服務學門,14,-,-,14,23,2,-,21,-,-,-,-,38,2,-,36,93,12,-,81,40,11,-,29,5,4,-,1
102學年,民生學門,52,3,-,49,65,9,-,56,1,-,-,1,82,10,-,72,493,66,7,420,143,61,9,73,7,5,2,-
102學年,運輸服務學門,2,1,-,1,1,-,-,1,2,1,-,1,4,2,-,2,30,13,-,17,23,14,-,9,3,3,-,-
102學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3,-,8,13,6,-,7,2,2,-,-
102學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,-,-,1,-,-,-,-
102學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,2,3,1,-,2,1,-,-,1
101學年,總計,257,30,-,227,206,25,-,181,16,9,-,7,500,107,-,393,3858,1099,24,2735,3289,1823,46,1420,822,615,5,202
101學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,100,76,6,18,277,225,16,36,58,55,2,1
101學年,藝術學門,9,4,-,5,1,-,-,1,1,-,-,1,9,4,-,5,114,69,4,41,132,100,6,26,12,11,-,1
101學年,人文學門,32,3,-,29,2,1,-,1,-,-,-,-,36,8,-,28,357,110,2,245,270,153,4,113,69,49,1,19
101學年,設計學門,19,1,-,18,7,-,-,7,1,1,-,-,24,5,-,19,234,26,-,208,93,34,-,59,9,6,-,3
101學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,122,60,2,60,246,146,3,97,60,46,-,14
101學年,傳播學門,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,4,79,12,-,67,60,24,-,36,5,4,-,1
101學年,商業及管理學門,32,9,-,23,36,3,-,33,5,3,-,2,108,30,-,78,700,139,-,561,500,230,-,270,76,55,-,21
101學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,42,13,-,29,54,30,-,24,10,6,-,4
