學年別,學門別,五專(含七年)總計,五專(含七年)國立,五專(含七年)直轄市立,五專(含七年)私立,二專總計,二專國立,二專直轄市立,二專私立,學士後學士學位總計,學士後學士學位國立,學士後學士學位直轄市立,學士後學士學位私立,大學二年制(含二技)總計,大學二年制(含二技)國立,大學二年制(含二技)直轄市立,大學二年制(含二技)私立,大學四年制(含四技)總計,大學四年制(含四技)國立,大學四年制(含四技)直轄市立,大學四年制(含四技)私立,碩士班總計,碩士班國立,碩士班直轄市立,碩士班私立,博士班總計,博士班國立,博士班直轄市立,博士班私立
101學年,生命科學學門,1,-,-,1,1,-,-,1,-,-,-,-,5,-,-,5,77,33,-,44,115,63,-,52,51,41,-,10
101學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,46,2,20,89,70,3,16,59,50,-,9
101學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,24,1,23,54,32,2,20,19,17,-,2
101學年,電算機學門,25,3,-,22,18,2,-,16,-,-,-,-,49,4,-,45,246,37,-,209,118,47,-,71,13,11,-,2
101學年,工程學門,31,2,-,29,32,4,-,28,4,4,-,-,80,32,-,48,744,262,1,481,714,404,2,308,229,166,-,63
101學年,建築及都市規劃學門,1,-,-,1,3,2,-,1,-,-,-,-,3,1,-,2,53,10,-,43,57,19,-,38,7,5,-,2
101學年,農業科學學門,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,96,65,-,31,78,67,-,11,29,28,-,1
101學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,11,11,-,-,5,5,-,-
101學年,醫藥衛生學門,38,2,-,36,11,-,-,11,2,-,-,2,62,3,-,59,171,21,-,150,201,73,1,127,94,47,-,47
101學年,社會服務學門,13,-,-,13,24,2,-,22,-,-,-,-,33,2,-,31,95,10,-,85,39,11,-,28,4,3,-,1
101學年,民生學門,52,3,-,49,64,7,-,57,2,1,-,1,75,12,-,63,456,62,6,388,132,62,9,61,6,4,2,-
101學年,運輸服務學門,2,1,-,1,3,-,-,3,1,-,-,1,5,3,-,2,28,12,-,16,23,14,-,9,4,4,-,-
101學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,3,-,11,22,7,-,15,2,2,-,-
101學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,-,-,1,-,-,-,-
101學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,-,3,3,1,-,2,1,-,-,1
100學年,總計,273,29,-,244,219,25,-,194,25,11,-,14,514,112,-,402,3826,1082,24,2720,3264,1820,48,1396,809,605,5,199
100學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,99,75,6,18,285,234,17,34,58,55,2,1
100學年,藝術學門,9,4,-,5,-,-,-,-,-,-,-,-,11,6,-,5,110,69,4,37,129,97,6,26,11,10,-,1
100學年,人文學門,33,3,-,30,4,1,-,3,-,-,-,-,39,9,-,30,367,110,2,255,270,152,4,114,68,49,1,18
100學年,設計學門,12,-,-,12,6,-,-,6,3,2,-,1,23,5,-,18,213,25,-,188,81,31,-,50,9,6,-,3
100學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,124,59,2,63,246,146,3,97,62,47,-,15
100學年,傳播學門,-,-,-,-,-,-,-,-,2,1,-,1,6,1,-,5,83,12,-,71,58,24,-,34,5,4,-,1
100學年,商業及管理學門,41,9,-,32,34,3,-,31,6,1,-,5,112,29,-,83,712,137,-,575,493,225,-,268,75,55,-,20
100學年,法律學門,-,-,-,-,-,-,-,-,1,1,-,-,2,2,-,-,45,12,-,33,53,30,-,23,10,6,-,4
100學年,生命科學學門,1,-,-,1,-,-,-,-,-,-,-,-,5,-,-,5,77,32,-,45,117,65,-,52,52,41,-,11
100學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,47,2,20,90,71,3,16,57,49,-,8
100學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,24,1,23,54,32,2,20,22,18,-,4
100學年,電算機學門,26,3,-,23,23,2,-,21,2,1,-,1,47,4,-,43,237,37,-,200,119,49,-,70,13,11,-,2
100學年,工程學門,41,2,-,39,35,5,-,30,4,4,-,-,94,36,-,58,760,258,1,501,715,403,2,310,220,158,-,62
100學年,建築及都市規劃學門,2,-,-,2,4,2,-,2,-,-,-,-,3,1,-,2,54,10,-,44,58,20,-,38,7,5,-,2
100學年,農業科學學門,3,2,-,1,3,3,-,-,-,-,-,-,1,1,-,-,96,63,-,33,80,68,-,12,28,27,-,1
100學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,11,11,-,-,5,5,-,-
100學年,醫藥衛生學門,40,2,-,38,14,-,-,14,3,-,-,3,62,2,-,60,168,21,-,147,195,73,1,121,91,47,-,44
100學年,社會服務學門,11,-,-,11,23,2,-,21,-,-,-,-,34,2,-,32,92,10,-,82,40,12,1,27,4,3,-,1
100學年,民生學門,51,3,-,48,70,7,-,63,3,1,-,2,67,11,-,56,417,57,6,354,123,56,9,58,5,3,2,-
100學年,運輸服務學門,3,1,-,2,3,-,-,3,1,-,-,1,6,3,-,3,28,12,-,16,22,13,-,9,4,4,-,-
100學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,3,-,12,21,7,-,14,2,2,-,-
100學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,-,-,1,-,-,-,-
100學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,1,3,1,-,2,1,-,-,1
99學年,總計,275,31,-,244,253,34,-,219,25,9,-,16,643,133,-,510,3809,1084,22,2703,3302,1870,48,1384,801,607,4,190
99學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,76,7,17,313,254,24,35,62,59,3,-
99學年,藝術學門,9,4,-,5,2,-,-,2,-,-,-,-,12,6,-,6,108,69,4,35,143,110,5,28,10,9,-,1
99學年,人文學門,34,4,-,30,6,1,-,5,1,-,-,1,48,9,-,39,366,108,2,256,258,144,4,110,66,47,1,18
99學年,設計學門,10,-,-,10,4,-,-,4,3,2,-,1,21,5,-,16,187,25,-,162,75,31,-,44,9,6,-,3
99學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,121,56,2,63,256,154,3,99,61,46,-,15
99學年,傳播學門,-,-,-,-,-,-,-,-,1,1,-,-,6,1,-,5,83,12,-,71,59,24,-,35,4,3,-,1
99學年,商業及管理學門,45,10,-,35,42,5,-,37,7,-,-,7,150,34,-,116,726,139,-,587,488,229,-,259,75,56,-,19
99學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,47,12,-,35,53,30,-,23,9,6,-,3
99學年,生命科學學門,1,-,-,1,-,-,-,-,-,-,-,-,4,-,-,4,81,33,-,48,117,66,-,51,51,42,-,9
99學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,48,-,20,89,74,-,15,57,49,-,8
99學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,24,-,24,56,35,-,21,24,20,-,4
99學年,電算機學門,26,3,-,23,24,2,-,22,2,1,-,1,58,5,-,53,233,37,-,196,120,49,-,71,13,11,-,2
99學年,工程學門,45,2,-,43,49,6,-,43,5,4,-,1,136,47,-,89,787,257,1,529,720,408,1,311,219,160,-,59
99學年,建築及都市規劃學門,2,-,-,2,6,4,-,2,-,-,-,-,3,1,-,2,55,10,-,45,55,19,-,36,7,5,-,2
99學年,農業科學學門,3,2,-,1,5,3,-,2,-,-,-,-,2,2,-,-,99,64,-,35,77,65,-,12,27,26,-,1
99學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,9,9,-,-,4,4,-,-
99學年,醫藥衛生學門,40,2,-,38,17,1,-,16,2,-,-,2,75,2,-,73,171,21,-,150,199,76,1,122,89,47,-,42
99學年,社會服務學門,12,-,-,12,25,2,-,23,-,-,-,-,35,2,-,33,92,10,-,82,41,13,1,27,4,3,-,1
99學年,民生學門,46,3,-,43,71,10,-,61,3,1,-,2,81,13,-,68,383,58,6,319,119,55,9,55,3,2,-,1
99學年,運輸服務學門,2,1,-,1,2,-,-,2,1,-,-,1,7,4,-,3,27,12,-,15,25,14,-,11,4,4,-,-
99學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,14,3,-,11,26,10,-,16,2,2,-,-
99學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,-,-,1,-,-,-,-
99學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,-,1,3,1,-,2,1,-,-,1
98學年,總計,264,25,-,239,307,43,-,264,-,-,-,-,750,145,-,605,3730,1080,22,2628,3303,1860,48,1395,794,598,4,192
98學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,82,7,18,318,258,25,35,61,57,3,1
98學年,藝術學門,8,3,-,5,6,3,-,3,-,-,-,-,12,6,-,6,102,66,4,32,145,108,6,31,9,8,-,1
98學年,人文學門,31,4,-,27,6,1,-,5,-,-,-,-,51,8,-,43,366,107,2,257,266,145,3,118,68,48,1,19
98學年,設計學門,8,-,-,8,7,-,-,7,-,-,-,-,26,5,-,21,158,25,-,133,77,33,-,44,7,5,-,2
98學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,123,56,2,65,259,154,2,103,62,46,-,16
98學年,傳播學門,-,-,-,-,1,-,-,1,-,-,-,-,9,1,-,8,85,12,-,73,57,23,-,34,4,3,-,1
98學年,商業及管理學門,45,10,-,35,51,9,-,42,-,-,-,-,171,34,-,137,726,139,-,587,480,219,-,261,77,55,-,22
98學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,46,12,-,34,48,27,-,21,9,6,-,3
98學年,生命科學學門,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,5,78,31,-,47,117,68,-,49,50,41,-,9
98學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,49,-,20,91,76,-,15,55,48,-,7
98學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,25,-,24,55,34,-,21,23,19,-,4
98學年,電算機學門,25,2,-,23,40,4,-,36,-,-,-,-,65,6,-,59,226,36,-,190,116,49,-,67,13,11,-,2
98學年,工程學門,48,1,-,47,59,6,-,53,-,-,-,-,176,55,-,121,791,259,1,531,727,406,1,320,219,158,-,61
98學年,建築及都市規劃學門,2,-,-,2,3,2,-,1,-,-,-,-,4,1,-,3,54,10,-,44,52,17,-,35,7,5,-,2
98學年,農業科學學門,1,-,-,1,5,3,-,2,-,-,-,-,7,4,-,3,94,64,-,30,75,65,-,10,27,26,-,1
98學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,9,9,-,-,4,4,-,-
98學年,醫藥衛生學門,39,2,-,37,21,2,-,19,-,-,-,-,86,2,-,84,167,20,-,147,196,76,1,119,85,46,-,39
98學年,社會服務學門,13,-,-,13,25,2,-,23,-,-,-,-,41,3,-,38,94,11,-,83,40,14,1,25,4,3,-,1
98學年,民生學門,42,2,-,40,81,11,-,70,-,-,-,-,83,14,-,69,340,53,6,281,118,54,9,55,2,2,-,-
98學年,運輸服務學門,2,1,-,1,2,-,-,2,-,-,-,-,8,4,-,4,27,12,-,15,25,14,-,11,4,4,-,-
98學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,14,1,-,13,28,10,-,18,3,3,-,-
98學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,2,1,-,-,1,-,-,-,-
98學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,2,3,1,-,2,1,-,-,1
97學年,總計,257,24,-,233,389,44,-,345,-,-,-,-,982,178,-,804,3697,1078,22,2597,3232,1831,47,1354,769,580,4,185
97學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,110,84,8,18,331,268,26,37,58,55,3,-
97學年,藝術學門,8,3,-,5,6,3,-,3,-,-,-,-,15,8,-,7,99,63,4,32,137,104,6,27,9,8,-,1
97學年,人文學門,31,4,-,27,11,1,-,10,-,-,-,-,61,9,-,52,362,105,1,256,260,142,2,116,68,48,1,19
97學年,設計學門,6,-,-,6,10,-,-,10,-,-,-,-,36,5,-,31,151,24,-,127,65,28,-,37,7,5,-,2
97學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,2,125,59,2,64,260,156,2,102,62,46,-,16
97學年,傳播學門,-,-,-,-,2,-,-,2,-,-,-,-,12,1,-,11,86,12,-,74,58,23,-,35,3,2,-,1
97學年,商業及管理學門,46,10,-,36,71,10,-,61,-,-,-,-,242,41,-,201,731,141,-,590,469,214,-,255,73,55,-,18
97學年,法律學門,1,-,-,1,-,-,-,-,-,-,-,-,2,2,-,-,45,12,-,33,47,26,-,21,9,6,-,3
97學年,生命科學學門,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,6,79,32,-,47,115,68,-,47,48,39,-,9
97學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,46,-,20,89,74,-,15,52,45,-,7
97學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,25,-,24,53,33,-,20,21,18,-,3
97學年,電算機學門,25,2,-,23,41,3,-,38,-,-,-,-,93,9,-,84,214,36,-,178,103,44,-,59,13,11,-,2
97學年,工程學門,49,1,-,48,94,9,-,85,-,-,-,-,252,69,-,183,813,260,1,552,702,392,1,309,214,152,-,62
97學年,建築及都市規劃學門,2,-,-,2,3,2,-,1,-,-,-,-,7,3,-,4,52,10,-,42,56,17,-,39,7,5,-,2
97學年,農業科學學門,1,-,-,1,8,3,-,5,-,-,-,-,12,5,-,7,89,62,-,27,76,65,-,11,26,25,-,1
97學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,10,10,-,-,5,5,-,-
97學年,醫藥衛生學門,39,2,-,37,27,3,-,24,-,-,-,-,91,2,-,89,164,20,-,144,194,76,-,118,79,43,-,36
97學年,社會服務學門,9,-,-,9,25,-,-,25,-,-,-,-,47,3,-,44,92,11,-,81,39,14,1,24,4,3,-,1
97學年,民生學門,38,1,-,37,85,9,-,76,-,-,-,-,89,14,-,75,310,50,6,254,114,52,9,53,3,2,-,1
97學年,運輸服務學門,2,1,-,1,5,1,-,4,-,-,-,-,8,4,-,4,27,12,-,15,23,14,-,9,4,4,-,-
97學年,環境保護學門,-,-,-,-,1,-,-,1,-,-,-,-,3,-,-,3,19,3,-,16,28,10,-,18,3,3,-,-
97學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-
97學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,2,3,1,-,2,1,-,-,1
""
