學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立延修生小計,國立延修生男,國立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立延修生小計,私立延修生男,私立延修生女
106學年,二專,12750,5839,6911,6090,2794,3296,5421,2442,2979,304,83,221,-,-,-,-,-,-,935,520,415,3229,1231,1998,1443,574,869,986,336,650,304,83,221,-,-,-,-,-,-,496,238,258,9521,4608,4913,4647,2220,2427,4435,2106,2329,-,-,-,-,-,-,-,-,-,439,282,157
106學年,二技,10157,4704,5453,-,-,-,-,-,-,5349,2401,2948,4477,2081,2396,3,2,1,328,220,108,2631,1265,1366,-,-,-,-,-,-,1367,659,708,1096,506,590,3,2,1,165,98,67,7526,3439,4087,-,-,-,-,-,-,3982,1742,2240,3381,1575,1806,-,-,-,163,122,41
105學年,二專,14975,6997,7978,7135,3235,3900,6322,2997,3325,365,145,220,-,-,-,-,-,-,1153,620,533,3313,1278,2035,1340,481,859,917,343,574,365,145,220,-,-,-,-,-,-,691,309,382,11662,5719,5943,5795,2754,3041,5405,2654,2751,-,-,-,-,-,-,-,-,-,462,311,151
105學年,二技,9927,4696,5231,-,-,-,-,-,-,5299,2452,2847,4259,2020,2239,2,2,-,367,222,145,2845,1368,1477,-,-,-,-,-,-,1301,600,701,1318,637,681,2,2,-,224,129,95,7082,3328,3754,-,-,-,-,-,-,3998,1852,2146,2941,1383,1558,-,-,-,143,93,50
104學年,二專,16802,8280,8522,8056,3926,4130,6956,3429,3527,601,219,382,-,-,-,-,-,-,1189,706,483,3451,1401,2050,1233,483,750,1074,436,638,590,212,378,-,-,-,-,-,-,554,270,284,13351,6879,6472,6823,3443,3380,5882,2993,2889,11,7,4,-,-,-,-,-,-,635,436,199
104學年,二技,9829,4855,4974,-,-,-,-,-,-,4949,2383,2566,4476,2220,2256,34,8,26,370,244,126,3316,1672,1644,-,-,-,-,-,-,1582,788,794,1497,737,760,11,8,3,226,139,87,6513,3183,3330,-,-,-,-,-,-,3367,1595,1772,2979,1483,1496,23,-,23,144,105,39
103學年,二專,17420,8768,8652,8723,4372,4351,6796,3395,3401,708,259,449,-,-,-,-,-,-,1193,742,451,3596,1509,2087,1445,617,828,1088,433,655,576,216,360,-,-,-,-,-,-,487,243,244,13824,7259,6565,7278,3755,3523,5708,2962,2746,132,43,89,-,-,-,-,-,-,706,499,207
103學年,二技,10351,5214,5137,-,-,-,-,-,-,5321,2627,2694,4553,2273,2280,47,16,31,430,298,132,3693,1898,1795,-,-,-,-,-,-,1853,911,942,1569,807,762,25,16,9,246,164,82,6658,3316,3342,-,-,-,-,-,-,3468,1716,1752,2984,1466,1518,22,-,22,184,134,50
102學年,二專,18474,9615,8859,8743,4447,4296,7856,4165,3691,690,238,452,-,-,-,-,-,-,1185,765,420,3678,1543,2135,1432,598,834,1256,529,727,491,165,326,-,-,-,-,-,-,499,251,248,14796,8072,6724,7311,3849,3462,6600,3636,2964,199,73,126,-,-,-,-,-,-,686,514,172
102學年,二技,11703,6069,5634,-,-,-,-,-,-,5319,2676,2643,5576,2844,2732,449,298,151,359,251,108,4266,2382,1884,-,-,-,-,-,-,1861,976,885,1850,1020,830,405,291,114,150,95,55,7437,3687,3750,-,-,-,-,-,-,3458,1700,1758,3726,1824,1902,44,7,37,209,156,53
101學年,二專,21077,11332,9745,10961,5958,5003,8285,4377,3908,648,197,451,-,-,-,-,-,-,1183,800,383,3789,1646,2143,1742,811,931,1163,470,693,500,160,340,-,-,-,-,-,-,384,205,179,17288,9686,7602,9219,5147,4072,7122,3907,3215,148,37,111,-,-,-,-,-,-,799,595,204
101學年,二技,13691,7266,6425,-,-,-,-,-,-,6499,3455,3044,6280,3186,3094,484,339,145,428,286,142,4786,2779,2007,-,-,-,-,-,-,2214,1245,969,1978,1099,879,440,333,107,154,102,52,8905,4487,4418,-,-,-,-,-,-,4285,2210,2075,4302,2087,2215,44,6,38,274,184,90
100學年,二專,20869,11375,9494,10505,5786,4719,8392,4485,3907,561,204,357,-,-,-,-,-,-,1411,900,511,3774,1589,2185,1600,703,897,1270,521,749,432,145,287,-,-,-,-,-,-,472,220,252,17095,9786,7309,8905,5083,3822,7122,3964,3158,129,59,70,-,-,-,-,-,-,939,680,259
100學年,二技,15524,8240,7284,-,-,-,-,-,-,7301,3833,3468,7250,3747,3503,492,318,174,481,342,139,5056,2979,2077,-,-,-,-,-,-,2285,1287,998,2177,1264,913,426,312,114,168,116,52,10468,5261,5207,-,-,-,-,-,-,5016,2546,2470,5073,2483,2590,66,6,60,313,226,87
99學年,二專,21352,11610,9742,10681,5885,4796,8103,4272,3831,1133,454,679,-,-,-,-,-,-,1435,999,436,4061,1662,2399,1656,716,940,1275,530,745,667,161,506,-,-,-,-,-,-,463,255,208,17291,9948,7343,9025,5169,3856,6828,3742,3086,466,293,173,-,-,-,-,-,-,972,744,228
99學年,二技,17199,9044,8155,-,-,-,-,-,-,8349,4383,3966,7957,4021,3936,476,333,143,417,307,110,5228,3062,2166,-,-,-,-,-,-,2534,1467,1067,2135,1201,934,426,307,119,133,87,46,11971,5982,5989,-,-,-,-,-,-,5815,2916,2899,5822,2820,3002,50,26,24,284,220,64
98學年,二專,23048,12436,10612,10086,5458,4628,9946,5192,4754,1276,546,730,-,-,-,-,-,-,1740,1240,500,4401,1791,2610,1636,702,934,1495,555,940,803,260,543,-,-,-,-,-,-,467,274,193,18647,10645,8002,8450,4756,3694,8451,4637,3814,473,286,187,-,-,-,-,-,-,1273,966,307
98學年,二技,19337,10119,9218,-,-,-,-,-,-,9141,4727,4414,9203,4701,4502,508,343,165,485,348,137,5235,3055,2180,-,-,-,-,-,-,2430,1385,1045,2204,1252,952,469,338,131,132,80,52,14102,7064,7038,-,-,-,-,-,-,6711,3342,3369,6999,3449,3550,39,5,34,353,268,85
97學年,二專,27754,15091,12663,12563,6830,5733,11681,6350,5331,1834,719,1115,26,25,1,2,1,1,1648,1166,482,5092,1956,3136,1898,757,1141,1579,623,956,1279,390,889,-,-,-,-,-,-,336,186,150,22662,13135,9527,10665,6073,4592,10102,5727,4375,555,329,226,26,25,1,2,1,1,1312,980,332
97學年,二技,21664,11095,10569,-,-,-,-,-,-,10736,5552,5184,9956,4838,5118,545,390,155,427,315,112,5446,3240,2206,-,-,-,-,-,-,2546,1469,1077,2294,1318,976,462,349,113,144,104,40,16218,7855,8363,-,-,-,-,-,-,8190,4083,4107,7662,3520,4142,83,41,42,283,211,72
""
