學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,總計4年級,國立計,國立1年級,國立2年級,國立3年級,國立4年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,直轄市立4年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,縣市立4年級,私立計,私立1年級,私立2年級,私立3年級,私立4年級
106學年,總計,8605,2761,2899,2942,3,2497,840,838,819,-,1341,463,441,437,-,27,11,10,6,-,4740,1447,1610,1680,3
106學年,新北市,984,319,325,337,3,-,-,-,-,-,307,108,100,99,-,-,-,-,-,-,677,211,225,238,3
106學年,臺北市,957,298,326,333,-,21,7,7,7,-,390,130,130,130,-,-,-,-,-,-,546,161,189,196,-
106學年,桃園市,865,286,293,286,-,162,55,54,53,-,30,10,10,10,-,-,-,-,-,-,673,221,229,223,-
106學年,臺中市,1259,387,432,440,-,48,16,16,16,-,358,120,120,118,-,-,-,-,-,-,853,251,296,306,-
106學年,臺南市,644,206,219,219,-,358,123,122,113,-,-,-,-,-,-,-,-,-,-,-,286,83,97,106,-
106學年,高雄市,1039,351,339,349,-,159,53,53,53,-,256,95,81,80,-,-,-,-,-,-,624,203,205,216,-
106學年,宜蘭縣,141,45,48,48,-,141,45,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,141,45,47,49,-,24,8,8,8,-,-,-,-,-,-,6,2,2,2,-,111,35,37,39,-
106學年,苗栗縣,258,81,88,89,-,132,44,44,44,-,-,-,-,-,-,10,5,4,1,-,116,32,40,44,-
106學年,彰化縣,485,149,164,172,-,322,111,107,104,-,-,-,-,-,-,-,-,-,-,-,163,38,57,68,-
106學年,南投縣,252,83,83,86,-,193,64,64,65,-,-,-,-,-,-,-,-,-,-,-,59,19,19,21,-
106學年,雲林縣,265,81,95,89,-,157,54,55,48,-,-,-,-,-,-,-,-,-,-,-,108,27,40,41,-
106學年,嘉義縣,135,45,45,45,-,53,18,17,18,-,-,-,-,-,-,-,-,-,-,-,82,27,28,27,-
106學年,屏東縣,277,88,91,98,-,169,56,56,57,-,-,-,-,-,-,-,-,-,-,-,108,32,35,41,-
106學年,臺東縣,92,32,31,29,-,63,22,21,20,-,-,-,-,-,-,-,-,-,-,-,29,10,10,9,-
106學年,花蓮縣,160,54,54,52,-,138,46,47,45,-,-,-,-,-,-,2,1,1,-,-,20,7,6,7,-
106學年,澎湖縣,57,18,19,20,-,57,18,19,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,177,55,60,62,-,78,26,26,26,-,-,-,-,-,-,-,-,-,-,-,99,29,34,36,-
106學年,新竹市,147,49,49,49,-,48,16,16,16,-,-,-,-,-,-,9,3,3,3,-,90,30,30,30,-
106學年,嘉義市,234,77,79,78,-,138,46,46,46,-,-,-,-,-,-,-,-,-,-,-,96,31,33,32,-
106學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,8761,2933,2944,2880,4,2813,954,935,924,-,958,325,321,312,-,23,10,7,6,-,4967,1644,1681,1638,4
105學年,新北市,1009,334,339,332,4,-,-,-,-,-,297,100,99,98,-,-,-,-,-,-,712,234,240,234,4
105學年,臺北市,999,337,334,328,-,21,7,7,7,-,390,130,130,130,-,-,-,-,-,-,588,200,197,191,-
105學年,桃園市,866,294,286,286,-,161,54,53,54,-,30,10,10,10,-,-,-,-,-,-,675,230,223,222,-
105學年,臺中市,1312,434,441,437,-,396,132,132,132,-,8,4,2,2,-,-,-,-,-,-,908,298,307,303,-
105學年,臺南市,660,223,219,218,-,348,122,113,113,-,-,-,-,-,-,-,-,-,-,-,312,101,106,105,-
105學年,高雄市,1021,342,349,330,-,157,53,53,51,-,233,81,80,72,-,-,-,-,-,-,631,208,216,207,-
105學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,142,48,49,45,-,24,8,8,8,-,-,-,-,-,-,6,2,2,2,-,112,38,39,35,-
105學年,苗栗縣,257,88,88,81,-,132,44,44,44,-,-,-,-,-,-,5,4,1,-,-,120,40,43,37,-
105學年,彰化縣,509,165,172,172,-,316,107,104,105,-,-,-,-,-,-,-,-,-,-,-,193,58,68,67,-
105學年,南投縣,249,85,86,78,-,189,64,65,60,-,-,-,-,-,-,-,-,-,-,-,60,21,21,18,-
105學年,雲林縣,269,93,87,89,-,153,55,48,50,-,-,-,-,-,-,-,-,-,-,-,116,38,39,39,-
105學年,嘉義縣,136,45,45,46,-,53,17,18,18,-,-,-,-,-,-,-,-,-,-,-,83,28,27,28,-
105學年,屏東縣,282,92,98,92,-,167,56,57,54,-,-,-,-,-,-,-,-,-,-,-,115,36,41,38,-
105學年,臺東縣,88,31,29,28,-,59,21,20,18,-,-,-,-,-,-,-,-,-,-,-,29,10,9,10,-
105學年,花蓮縣,160,54,53,53,-,136,47,45,44,-,-,-,-,-,-,3,1,1,1,-,21,6,7,8,-
105學年,澎湖縣,57,19,20,18,-,57,19,20,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,185,60,62,63,-,78,26,26,26,-,-,-,-,-,-,-,-,-,-,-,107,34,36,37,-
105學年,新竹市,147,50,49,48,-,48,16,16,16,-,-,-,-,-,-,9,3,3,3,-,90,31,30,29,-
105學年,嘉義市,233,79,78,76,-,138,46,46,46,-,-,-,-,-,-,-,-,-,-,-,95,33,32,30,-
105學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,8760,2973,2901,2861,25,2768,935,924,909,-,962,321,312,308,21,16,6,5,5,-,5014,1711,1660,1639,4
104學年,新北市,1033,348,340,341,4,-,-,-,-,-,293,99,98,96,-,-,-,-,-,-,740,249,242,245,4
104學年,臺北市,1024,339,329,335,21,21,7,7,7,-,410,130,130,129,21,-,-,-,-,-,593,202,192,199,-
104學年,桃園市,840,287,284,269,-,160,53,54,53,-,30,10,10,10,-,-,-,-,-,-,650,224,220,206,-
104學年,臺中市,1295,441,437,417,-,396,132,132,132,-,6,2,2,2,-,-,-,-,-,-,893,307,303,283,-
104學年,臺南市,661,220,218,223,-,339,113,113,113,-,-,-,-,-,-,-,-,-,-,-,322,107,105,110,-
104學年,高雄市,1017,351,335,331,-,155,53,51,51,-,223,80,72,71,-,-,-,-,-,-,639,218,212,209,-
104學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,140,49,45,46,-,24,8,8,8,-,-,-,-,-,-,6,2,2,2,-,110,39,35,36,-
104學年,苗栗縣,248,88,81,79,-,132,44,44,44,-,-,-,-,-,-,1,1,-,-,-,115,43,37,35,-
104學年,彰化縣,514,172,172,170,-,311,104,105,102,-,-,-,-,-,-,-,-,-,-,-,203,68,67,68,-
104學年,南投縣,248,87,80,81,-,186,65,60,61,-,-,-,-,-,-,-,-,-,-,-,62,22,20,20,-
104學年,雲林縣,266,87,90,89,-,148,48,50,50,-,-,-,-,-,-,-,-,-,-,-,118,39,40,39,-
104學年,嘉義縣,141,46,47,48,-,53,18,18,17,-,-,-,-,-,-,-,-,-,-,-,88,28,29,31,-
104學年,屏東縣,286,101,93,92,-,161,57,54,50,-,-,-,-,-,-,-,-,-,-,-,125,44,39,42,-
104學年,臺東縣,83,29,28,26,-,54,20,18,16,-,-,-,-,-,-,-,-,-,-,-,29,9,10,10,-
104學年,花蓮縣,159,54,55,50,-,128,45,44,39,-,-,-,-,-,-,-,-,-,-,-,31,9,11,11,-
104學年,澎湖縣,56,20,18,18,-,56,20,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,191,65,64,62,-,78,26,26,26,-,-,-,-,-,-,-,-,-,-,-,113,39,38,36,-
104學年,新竹市,146,50,48,48,-,48,16,16,16,-,-,-,-,-,-,9,3,3,3,-,89,31,29,29,-
104學年,嘉義市,232,79,77,76,-,138,46,46,46,-,-,-,-,-,-,-,-,-,-,-,94,33,31,30,-
104學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,8810,2926,2876,2982,26,2741,924,909,908,-,935,302,298,314,21,45,15,15,15,-,5089,1685,1654,1745,5
103學年,新北市,1035,341,342,347,5,-,-,-,-,-,290,98,96,96,-,-,-,-,-,-,745,243,246,251,5
103學年,臺北市,1053,334,337,361,21,21,7,7,7,-,427,130,129,147,21,-,-,-,-,-,605,197,201,207,-
103學年,臺中市,1279,437,417,425,-,395,132,132,131,-,6,2,2,2,-,-,-,-,-,-,878,303,283,292,-
103學年,臺南市,692,224,226,242,-,338,113,113,112,-,-,-,-,-,-,-,-,-,-,-,354,111,113,130,-
103學年,高雄市,1029,338,333,358,-,153,51,51,51,-,212,72,71,69,-,-,-,-,-,-,664,215,211,238,-
103學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,828,284,271,273,-,160,54,53,53,-,-,-,-,-,-,30,10,10,10,-,638,220,208,210,-
103學年,新竹縣,140,45,46,49,-,24,8,8,8,-,-,-,-,-,-,6,2,2,2,-,110,35,36,39,-
103學年,苗栗縣,252,85,83,84,-,132,44,44,44,-,-,-,-,-,-,-,-,-,-,-,120,41,39,40,-
103學年,彰化縣,524,173,170,181,-,311,105,102,104,-,-,-,-,-,-,-,-,-,-,-,213,68,68,77,-
103學年,南投縣,240,81,81,78,-,178,60,61,57,-,-,-,-,-,-,-,-,-,-,-,62,21,20,21,-
103學年,雲林縣,268,92,89,87,-,148,50,50,48,-,-,-,-,-,-,-,-,-,-,-,120,42,39,39,-
103學年,嘉義縣,146,48,48,50,-,53,18,17,18,-,-,-,-,-,-,-,-,-,-,-,93,30,31,32,-
103學年,屏東縣,285,94,93,98,-,155,54,50,51,-,-,-,-,-,-,-,-,-,-,-,130,40,43,47,-
103學年,臺東縣,78,28,26,24,-,48,18,16,14,-,-,-,-,-,-,-,-,-,-,-,30,10,10,10,-
103學年,花蓮縣,150,52,48,50,-,124,44,39,41,-,-,-,-,-,-,-,-,-,-,-,26,8,9,9,-
103學年,澎湖縣,56,18,18,20,-,56,18,18,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,192,65,62,65,-,80,26,26,28,-,-,-,-,-,-,-,-,-,-,-,112,39,36,37,-
103學年,新竹市,148,49,48,51,-,48,16,16,16,-,-,-,-,-,-,9,3,3,3,-,91,30,29,32,-
103學年,嘉義市,235,78,78,79,-,137,46,46,45,-,-,-,-,-,-,-,-,-,-,-,98,32,32,34,-
103學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,8881,2903,2997,2956,25,2717,910,908,899,-,947,298,314,314,21,39,15,15,9,-,5178,1680,1760,1734,4
102學年,新北市,1057,350,354,349,4,-,-,-,-,-,289,96,96,97,-,-,-,-,-,-,768,254,258,252,4
102學年,臺北市,1100,343,363,373,21,21,7,7,7,-,444,129,147,147,21,-,-,-,-,-,635,207,209,219,-
102學年,臺中市,1254,417,425,412,-,393,132,131,130,-,4,2,2,-,-,-,-,-,-,-,857,283,292,282,-
102學年,臺南市,708,229,244,235,-,336,113,112,111,-,-,-,-,-,-,-,-,-,-,-,372,116,132,124,-
102學年,高雄市,1051,337,358,356,-,153,51,51,51,-,210,71,69,70,-,-,-,-,-,-,688,215,238,235,-
102學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,桃園縣,801,271,273,257,-,160,53,53,54,-,-,-,-,-,-,24,10,10,4,-,617,208,210,199,-
102學年,新竹縣,142,46,49,47,-,24,8,8,8,-,-,-,-,-,-,6,2,2,2,-,112,36,39,37,-
102學年,苗栗縣,247,82,84,81,-,128,44,44,40,-,-,-,-,-,-,-,-,-,-,-,119,38,40,41,-
102學年,彰化縣,536,170,181,185,-,311,102,104,105,-,-,-,-,-,-,-,-,-,-,-,225,68,77,80,-
102學年,南投縣,233,81,77,75,-,174,61,57,56,-,-,-,-,-,-,-,-,-,-,-,59,20,20,19,-
102學年,雲林縣,273,91,89,93,-,148,50,48,50,-,-,-,-,-,-,-,-,-,-,-,125,41,41,43,-
102學年,嘉義縣,146,48,50,48,-,53,17,18,18,-,-,-,-,-,-,-,-,-,-,-,93,31,32,30,-
102學年,屏東縣,290,94,99,97,-,151,51,51,49,-,-,-,-,-,-,-,-,-,-,-,139,43,48,48,-
102學年,臺東縣,71,26,24,21,-,43,16,14,13,-,-,-,-,-,-,-,-,-,-,-,28,10,10,8,-
102學年,花蓮縣,147,48,50,49,-,120,39,41,40,-,-,-,-,-,-,-,-,-,-,-,27,9,9,9,-
102學年,澎湖縣,56,18,20,18,-,56,18,20,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,197,62,65,70,-,82,26,28,28,-,-,-,-,-,-,-,-,-,-,-,115,36,37,42,-
102學年,新竹市,151,49,51,51,-,48,16,16,16,-,-,-,-,-,-,9,3,3,3,-,94,30,32,32,-
102學年,嘉義市,241,81,81,79,-,136,46,45,45,-,-,-,-,-,-,-,-,-,-,-,105,35,36,34,-
102學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,8932,3015,2974,2917,26,2935,986,979,970,-,729,236,235,237,21,26,15,9,2,-,5242,1778,1751,1708,5
101學年,新北市,1060,357,355,343,5,235,78,79,78,-,54,18,18,18,-,-,-,-,-,-,771,261,258,247,5
