學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,總計4年級,國立計,國立1年級,國立2年級,國立3年級,國立4年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,直轄市立4年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,縣市立4年級,私立計,私立1年級,私立2年級,私立3年級,私立4年級
101學年,臺北市,1137,368,376,372,21,21,7,7,7,-,464,147,147,149,21,-,-,-,-,-,652,214,222,216,-
101學年,臺中市,1237,425,412,400,-,391,131,130,130,-,2,2,-,-,-,-,-,-,-,-,844,292,282,270,-
101學年,臺南市,709,245,236,228,-,331,112,111,108,-,-,-,-,-,-,-,-,-,-,-,378,133,125,120,-
101學年,高雄市,1078,362,358,358,-,153,51,51,51,-,209,69,70,70,-,-,-,-,-,-,716,242,237,237,-
101學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,桃園縣,778,273,257,248,-,160,53,54,53,-,-,-,-,-,-,14,10,4,-,-,604,210,199,195,-
101學年,新竹縣,150,49,47,54,-,24,8,8,8,-,-,-,-,-,-,6,2,2,2,-,120,39,37,44,-
101學年,苗栗縣,248,86,82,80,-,124,44,40,40,-,-,-,-,-,-,-,-,-,-,-,124,42,42,40,-
101學年,彰化縣,549,181,185,183,-,311,104,105,102,-,-,-,-,-,-,-,-,-,-,-,238,77,80,81,-
101學年,南投縣,224,77,75,72,-,169,57,56,56,-,-,-,-,-,-,-,-,-,-,-,55,20,19,16,-
101學年,雲林縣,266,88,93,85,-,148,48,50,50,-,-,-,-,-,-,-,-,-,-,-,118,40,43,35,-
101學年,嘉義縣,153,50,50,53,-,53,18,18,17,-,-,-,-,-,-,-,-,-,-,-,100,32,32,36,-
101學年,屏東縣,291,99,97,95,-,151,51,50,50,-,-,-,-,-,-,-,-,-,-,-,140,48,47,45,-
101學年,臺東縣,66,24,21,21,-,40,14,13,13,-,-,-,-,-,-,-,-,-,-,-,26,10,8,8,-
101學年,花蓮縣,149,50,49,50,-,122,41,40,41,-,-,-,-,-,-,-,-,-,-,-,27,9,9,9,-
101學年,澎湖縣,56,20,18,18,-,56,20,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,214,69,72,73,-,84,28,28,28,-,-,-,-,-,-,-,-,-,-,-,130,41,44,45,-
101學年,新竹市,150,51,51,48,-,50,16,16,18,-,-,-,-,-,-,6,3,3,-,-,94,32,32,30,-
101學年,嘉義市,237,81,80,76,-,132,45,45,42,-,-,-,-,-,-,-,-,-,-,-,105,36,35,34,-
101學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,8847,3012,2939,2871,25,2915,979,970,966,-,729,235,237,236,21,13,9,2,2,-,5190,1789,1730,1667,4
100學年,新北市,1049,358,346,341,4,234,79,78,77,-,54,18,18,18,-,-,-,-,-,-,761,261,250,246,4
100學年,臺北市,1167,393,380,373,21,21,7,7,7,-,466,147,149,149,21,-,-,-,-,-,680,239,224,217,-
100學年,臺中市,1207,412,401,394,-,389,130,130,129,-,-,-,-,-,-,-,-,-,-,-,818,282,271,265,-
100學年,臺南市,692,238,229,225,-,326,111,108,107,-,-,-,-,-,-,-,-,-,-,-,366,127,121,118,-
100學年,高雄市,1075,366,362,347,-,153,51,51,51,-,209,70,70,69,-,-,-,-,-,-,713,245,241,227,-
100學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,桃園縣,739,257,248,234,-,160,54,53,53,-,-,-,-,-,-,4,4,-,-,-,575,199,195,181,-
100學年,新竹縣,156,47,54,55,-,24,8,8,8,-,-,-,-,-,-,6,2,2,2,-,126,37,44,45,-
100學年,苗栗縣,242,82,80,80,-,120,40,40,40,-,-,-,-,-,-,-,-,-,-,-,122,42,40,40,-
100學年,彰化縣,555,187,184,184,-,310,105,102,103,-,-,-,-,-,-,-,-,-,-,-,245,82,82,81,-
100學年,南投縣,211,75,72,64,-,162,56,56,50,-,-,-,-,-,-,-,-,-,-,-,49,19,16,14,-
100學年,雲林縣,264,94,86,84,-,148,50,50,48,-,-,-,-,-,-,-,-,-,-,-,116,44,36,36,-
100學年,嘉義縣,158,50,53,55,-,53,18,17,18,-,-,-,-,-,-,-,-,-,-,-,105,32,36,37,-
100學年,屏東縣,285,97,96,92,-,151,50,50,51,-,-,-,-,-,-,-,-,-,-,-,134,47,46,41,-
100學年,臺東縣,65,21,21,23,-,42,13,13,16,-,-,-,-,-,-,-,-,-,-,-,23,8,8,7,-
100學年,花蓮縣,152,50,51,51,-,122,40,41,41,-,-,-,-,-,-,-,-,-,-,-,30,10,10,10,-
100學年,澎湖縣,56,18,18,20,-,56,18,18,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,219,73,74,72,-,84,28,28,28,-,-,-,-,-,-,-,-,-,-,-,135,45,46,44,-
100學年,新竹市,140,52,48,40,-,51,16,18,17,-,-,-,-,-,-,3,3,-,-,-,86,33,30,23,-
100學年,嘉義市,235,82,76,77,-,129,45,42,42,-,-,-,-,-,-,-,-,-,-,-,106,37,34,35,-
100學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,8738,2984,2897,2831,26,2891,971,966,954,-,677,219,218,219,21,58,20,20,18,-,5112,1774,1693,1640,5
99學年,臺北市,1159,391,379,368,21,21,7,7,7,-,468,149,149,149,21,-,-,-,-,-,670,235,223,212,-
99學年,高雄市,655,228,222,205,-,-,-,-,-,-,209,70,69,70,-,-,-,-,-,-,446,158,153,135,-
99學年,臺北縣,1048,354,344,345,5,233,78,77,78,-,-,-,-,-,-,54,18,18,18,-,761,258,249,249,5
99學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,桃園縣,708,249,234,225,-,159,53,53,53,-,-,-,-,-,-,-,-,-,-,-,549,196,181,172,-
99學年,新竹縣,155,54,55,46,-,24,8,8,8,-,-,-,-,-,-,4,2,2,-,-,127,44,45,38,-
99學年,苗栗縣,237,81,80,76,-,116,40,40,36,-,-,-,-,-,-,-,-,-,-,-,121,41,40,40,-
99學年,臺中縣,709,246,242,221,-,211,71,70,70,-,-,-,-,-,-,-,-,-,-,-,498,175,172,151,-
99學年,彰化縣,556,184,184,188,-,307,102,103,102,-,-,-,-,-,-,-,-,-,-,-,249,82,81,86,-
99學年,南投縣,193,72,64,57,-,151,56,50,45,-,-,-,-,-,-,-,-,-,-,-,42,16,14,12,-
99學年,雲林縣,263,91,84,88,-,149,50,48,51,-,-,-,-,-,-,-,-,-,-,-,114,41,36,37,-
99學年,嘉義縣,165,54,55,56,-,53,17,18,18,-,-,-,-,-,-,-,-,-,-,-,112,37,37,38,-
99學年,臺南縣,321,105,106,110,-,233,78,77,78,-,-,-,-,-,-,-,-,-,-,-,88,27,29,32,-
99學年,高雄縣,418,142,133,143,-,153,51,51,51,-,-,-,-,-,-,-,-,-,-,-,265,91,82,92,-
99學年,屏東縣,290,99,95,96,-,151,51,51,49,-,-,-,-,-,-,-,-,-,-,-,139,48,44,47,-
99學年,臺東縣,66,21,23,22,-,44,13,16,15,-,-,-,-,-,-,-,-,-,-,-,22,8,7,7,-
99學年,花蓮縣,162,54,55,53,-,122,41,41,40,-,-,-,-,-,-,-,-,-,-,-,40,13,14,13,-
99學年,澎湖縣,55,18,20,17,-,55,18,20,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,218,75,72,71,-,84,28,28,28,-,-,-,-,-,-,-,-,-,-,-,134,47,44,43,-
99學年,新竹市,130,50,40,40,-,52,18,17,17,-,-,-,-,-,-,-,-,-,-,-,78,32,23,23,-
99學年,臺中市,460,156,153,151,-,177,59,59,59,-,-,-,-,-,-,-,-,-,-,-,283,97,94,92,-
99學年,嘉義市,229,76,77,76,-,126,42,42,42,-,-,-,-,-,-,-,-,-,-,-,103,34,35,34,-
99學年,臺南市,361,124,120,117,-,90,30,30,30,-,-,-,-,-,-,-,-,-,-,-,271,94,90,87,-
99學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,8512,2919,2845,2721,27,2860,966,955,939,-,676,218,219,218,21,55,20,18,17,-,4921,1715,1653,1547,6
98學年,臺北市,1139,389,373,356,21,20,7,7,6,-,467,149,149,148,21,-,-,-,-,-,652,233,217,202,-
98學年,高雄市,636,220,209,207,-,2,-,-,2,-,209,69,70,70,-,-,-,-,-,-,425,151,139,135,-
98學年,臺北縣,1029,350,346,327,6,230,77,78,75,-,-,-,-,-,-,53,18,18,17,-,746,255,250,235,6
98學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,桃園縣,679,234,225,220,-,156,53,53,50,-,-,-,-,-,-,-,-,-,-,-,523,181,172,170,-
98學年,新竹縣,148,55,46,47,-,23,8,8,7,-,-,-,-,-,-,2,2,-,-,-,123,45,38,40,-
98學年,苗栗縣,227,80,76,71,-,112,40,36,36,-,-,-,-,-,-,-,-,-,-,-,115,40,40,35,-
98學年,臺中縣,677,242,221,214,-,210,70,70,70,-,-,-,-,-,-,-,-,-,-,-,467,172,151,144,-
98學年,彰化縣,546,184,188,174,-,304,103,102,99,-,-,-,-,-,-,-,-,-,-,-,242,81,86,75,-
98學年,南投縣,175,64,57,54,-,138,50,45,43,-,-,-,-,-,-,-,-,-,-,-,37,14,12,11,-
98學年,雲林縣,257,83,88,86,-,150,48,51,51,-,-,-,-,-,-,-,-,-,-,-,107,35,37,35,-
98學年,嘉義縣,167,57,56,54,-,53,18,18,17,-,-,-,-,-,-,-,-,-,-,-,114,39,38,37,-
98學年,臺南縣,326,106,110,110,-,235,77,78,80,-,-,-,-,-,-,-,-,-,-,-,91,29,32,30,-
98學年,高雄縣,416,134,143,139,-,153,51,51,51,-,-,-,-,-,-,-,-,-,-,-,263,83,92,88,-
98學年,屏東縣,283,96,97,90,-,150,51,50,49,-,-,-,-,-,-,-,-,-,-,-,133,45,47,41,-
98學年,臺東縣,66,23,22,21,-,45,16,15,14,-,-,-,-,-,-,-,-,-,-,-,21,7,7,7,-
98學年,花蓮縣,164,55,54,55,-,122,41,40,41,-,-,-,-,-,-,-,-,-,-,-,42,14,14,14,-
98學年,澎湖縣,55,20,17,18,-,55,20,17,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,213,75,72,66,-,79,28,28,23,-,-,-,-,-,-,-,-,-,-,-,134,47,44,43,-
98學年,新竹市,118,41,40,37,-,50,17,17,16,-,-,-,-,-,-,-,-,-,-,-,68,24,23,21,-
98學年,臺中市,434,153,151,130,-,177,59,59,59,-,-,-,-,-,-,-,-,-,-,-,257,94,92,71,-
98學年,嘉義市,227,78,77,72,-,126,42,42,42,-,-,-,-,-,-,-,-,-,-,-,101,36,35,30,-
98學年,臺南市,350,120,117,113,-,90,30,30,30,-,-,-,-,-,-,-,-,-,-,-,260,90,87,83,-
98學年,金門縣,36,12,12,12,-,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,8342,2873,2738,2698,33,2832,955,939,938,-,676,219,218,217,22,52,18,17,17,-,4782,1681,1564,1526,11
97學年,臺北市,1120,378,360,355,27,19,7,6,6,-,466,149,148,147,22,-,-,-,-,-,635,222,206,202,5
97學年,高雄市,621,215,209,197,-,4,-,2,2,-,210,70,70,70,-,-,-,-,-,-,407,145,137,125,-
97學年,臺北縣,1018,353,335,324,6,228,78,75,75,-,-,-,-,-,-,52,18,17,17,-,738,257,243,232,6
97學年,宜蘭縣,144,48,48,48,-,144,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,桃園縣,657,225,220,212,-,151,53,50,48,-,-,-,-,-,-,-,-,-,-,-,506,172,170,164,-
97學年,新竹縣,140,47,47,46,-,22,8,7,7,-,-,-,-,-,-,-,-,-,-,-,118,39,40,39,-
97學年,苗栗縣,220,76,71,73,-,108,36,36,36,-,-,-,-,-,-,-,-,-,-,-,112,40,35,37,-
97學年,臺中縣,656,221,215,220,-,210,70,70,70,-,-,-,-,-,-,-,-,-,-,-,446,151,145,150,-
97學年,彰化縣,531,188,174,169,-,302,102,99,101,-,-,-,-,-,-,-,-,-,-,-,229,86,75,68,-
97學年,南投縣,168,57,54,57,-,136,45,43,48,-,-,-,-,-,-,-,-,-,-,-,32,12,11,9,-
97學年,雲林縣,265,91,86,88,-,151,51,51,49,-,-,-,-,-,-,-,-,-,-,-,114,40,35,39,-
97學年,嘉義縣,167,57,55,55,-,53,18,17,18,-,-,-,-,-,-,-,-,-,-,-,114,39,38,37,-
97學年,臺南縣,327,110,110,107,-,233,78,80,75,-,-,-,-,-,-,-,-,-,-,-,94,32,30,32,-
97學年,高雄縣,419,144,139,136,-,153,51,51,51,-,-,-,-,-,-,-,-,-,-,-,266,93,88,85,-
97學年,屏東縣,277,98,90,89,-,148,50,49,49,-,-,-,-,-,-,-,-,-,-,-,129,48,41,40,-
97學年,臺東縣,64,22,21,21,-,43,15,14,14,-,-,-,-,-,-,-,-,-,-,-,21,7,7,7,-
97學年,花蓮縣,168,55,55,58,-,122,40,41,41,-,-,-,-,-,-,-,-,-,-,-,46,15,14,17,-
97學年,澎湖縣,54,17,18,19,-,54,17,18,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,207,72,67,68,-,74,28,23,23,-,-,-,-,-,-,-,-,-,-,-,133,44,44,45,-
97學年,新竹市,112,40,37,35,-,49,17,16,16,-,-,-,-,-,-,-,-,-,-,-,63,23,21,19,-
97學年,臺中市,410,151,130,129,-,177,59,59,59,-,-,-,-,-,-,-,-,-,-,-,233,92,71,70,-
97學年,嘉義市,221,79,72,70,-,126,42,42,42,-,-,-,-,-,-,-,-,-,-,-,95,37,30,28,-
97學年,臺南市,341,117,113,111,-,90,30,30,30,-,-,-,-,-,-,-,-,-,-,-,251,87,83,81,-
97學年,金門縣,35,12,12,11,-,35,12,12,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
